motif_id,motif,mage_prob_importance,label_0_score,label_1_score
189,*=Cc1ccc(O)cc1,0.7765397429466248,0.0,0.0
190,*NN,0.7279604077339172,0.0001125980488723144,0.005570357199758291
191,*CCN,0.7345889806747437,0.021205535158514977,0.007190264295786619
192,*c1nnc(C)s1,0.680425226688385,0.00020072163897566497,0.006855446845293045
193,*C1OCC(C)(O)C(*)C1O,0.6527172923088074,8.025344868656248e-05,0.0019625150598585606
194,*C(=O)C(C)(C)C,0.7264128923416138,0.0008958019898273051,0.0038195427041500807
195,*C=NC(*)C(*)=O,0.7311335206031799,2.2340667783282697e-05,0.0046244109980762005
196,*C1C(N)CC(N)C(O)C1O,0.5308752059936523,1.1825788533315063e-05,0.003139690263196826
197,*c1cc2c(cc1F)c(=O)c(*)cn2*,0.9158948659896851,4.697822441812605e-05,0.0017757629975676537
198,*C(C)(C)C(=O)O,0.5039371252059937,0.0005029499297961593,0.0055191610008478165
199,*C(C)O,0.6455339789390564,0.0019973774906247854,0.02203596942126751
200,*CC(*)(O)CC(*)O*,0.7737147212028503,0.0002915484074037522,0.002895141253247857
201,*C1CC(N)C(O)C(C)O1,0.6850410103797913,0.00013013019633945078,0.0014435293851420283
202,*C(*)(*)N,0.7927930355072021,0.0006036740960553288,0.018727073445916176
203,*NCNS(*)(=O)=O,0.6264166235923767,0.0,0.0
204,*SCC(C)=C(*)*,0.8834797143936157,8.387505658902228e-05,0.010811572894454002
205,*c1ccc(N)cc1,0.8296618461608887,0.001643077819608152,7.095564069459215e-05
206,*c1csc(N=C(N)N)n1,0.732944667339325,0.0006116930744610727,0.00014943964197300375
207,*=C(CC)c1ccc(O)cc1,0.8196311593055725,0.0,0.0
208,*C(*)C(C)Cl,0.8421812653541565,0.0008277993183583021,0.0035845343954861164
209,*C(C(*)C(*)(*)C)C(*)C(*)(C)C(*)*,0.9696503281593323,0.0010728688212111592,0.0004644630244001746
210,*C1OC(*)C(O)C(O)C1*,0.6742265224456787,5.7346482208231464e-05,0.0014375437749549747
